Frequency (GHz),Calculated SMAm-SMAm
4.973380952,-0.0230981014
4.973698413,-0.0197564844
4.974015873,-0.0166787279
4.974333333,-0.0186380538
4.974650794,-0.0205961356
4.974968254,-0.0225529732
4.975285714,-0.0223816866
4.975603175,-0.0219723335
4.975920635,-0.0215612075
4.976238095,-0.0215212419
4.976555556,-0.0216052432
4.976873016,-0.021689104
4.977190476,-0.0206818257
4.977507937,-0.0189463265
4.977825397,-0.0172097526
4.978142857,-0.016315573
4.978460317,-0.0164513769
4.978777778,-0.0165863152
4.979095238,-0.0171801462
4.979412698,-0.0188454395
4.979730159,-0.0205091863
4.980047619,-0.0220282647
4.980365079,-0.0227362176
4.98068254,-0.0234451481
4.981,-0.0241550558
4.98131746,-0.0245930143
4.981634921,-0.0250297189
4.981952381,-0.025465171
4.982269841,-0.0252507797
4.982587302,-0.0249218025
4.982904762,-0.0245927877
4.983222222,-0.0240127129
4.983539683,-0.0233237957
4.983857143,-0.0226333987
4.984174603,-0.022237123
4.984492063,-0.022082063
4.984809524,-0.0219266059
4.985126984,-0.0219617027
4.985444444,-0.0222817926
4.985761905,-0.0226000045
4.986079365,-0.0224418387
4.986396825,-0.0208594091
4.986714286,-0.0192768816
4.987031746,-0.0180212932
4.987349206,-0.0197087311
4.987666667,-0.0213956871
4.987984127,-0.0230821617
4.988301587,-0.020119368
4.988619048,-0.0169087378
4.988936508,-0.0136948734
4.989253968,-0.0155542461
4.989571429,-0.0186813286
4.989888889,-0.0218072064
4.990206349,-0.0228311177
4.99052381,-0.0227225254
4.99084127,-0.0226125836
4.99115873,-0.022609682
4.99147619,-0.0227148021
4.991793651,-0.022819881
4.992111111,-0.022729591
4.992428571,-0.0222770495
4.992746032,-0.0218252697
4.993063492,-0.021053343
4.993380952,-0.0189977948
4.993698413,-0.0169417624
4.994015873,-0.0151767329
4.994333333,-0.0189484221
4.994650794,-0.0227176284
4.994968254,-0.026484355
4.995285714,-0.0258919747
4.995603175,-0.024814723
4.995920635,-0.0237367575
4.996238095,-0.0225344308
4.996555556,-0.0212895344
4.996873016,-0.0200431908
4.997190476,-0.0206336574
4.997507937,-0.0224489549
4.997825397,-0.0242637711
4.998142857,-0.0237750912
4.998460317,-0.0204714304
4.998777778,-0.0171676988
4.999095238,-0.0158680537
4.999412698,-0.0192444628
4.999730159,-0.0226204327
5.000047619,-0.0250526428
5.000365079,-0.0221390238
5.00068254,-0.0192251161
5.001,-0.0163109207
5.00131746,-0.0182337131
5.001634921,-0.0201563025
5.001952381,-0.0220786888
5.002269841,-0.022234252
5.002587302,-0.0220777868
5.002904762,-0.0219210439
5.003222222,-0.0224189803
5.003539683,-0.023196379
5.003857143,-0.0239723742
5.004174603,-0.0242599386
5.004492063,-0.0241484047
5.004809524,-0.0240364767
5.005126984,-0.0229616551
5.005444444,-0.0204418181
5.005761905,-0.0179203413
5.006079365,-0.0161967076
5.006396825,-0.0168705886
5.006714286,-0.017543952
5.007031746,-0.0182909663
5.007349206,-0.0197045364
5.007666667,-0.0211167865
5.007984127,-0.0225277175
5.008301587,-0.0211521031
5.008619048,-0.0196294022
5.008936508,-0.0181062268
5.009253968,-0.0187437767
5.009571429,-0.0199210632
5.009888889,-0.0210977755
5.010206349,-0.0211288931
5.01052381,-0.0205422917
5.01084127,-0.0199543947
5.01115873,-0.0196495526
5.01147619,-0.019628487
5.011793651,-0.0196070889
5.012111111,-0.0199602682
5.012428571,-0.0210090109
5.012746032,-0.0220568798
5.013063492,-0.0229539034
5.013380952,-0.0232503103
5.013698413,-0.0235460809
5.014015873,-0.0237568645
5.014333333,-0.0223639164
5.014650794,-0.020969535
5.014968254,-0.0195737189
5.015285714,-0.0187929771
5.015603175,-0.0180799269
5.015920635,-0.017366099
5.016238095,-0.0185409856
5.016555556,-0.0203449911
5.016873016,-0.0221482945
5.017190476,-0.0235496894
5.017507937,-0.0246828923
5.017825397,-0.0258153705
5.018142857,-0.0263301175
5.018460317,-0.0260898463
5.018777778,-0.0258486091
5.019095238,-0.0251975678
5.019412698,-0.0235926467
5.019730159,-0.0219883566
5.020047619,-0.020725588
5.020365079,-0.0213945192
5.02068254,-0.0220629653
5.021,-0.0227309259
5.02131746,-0.0216195122
5.021634921,-0.0205075426
5.021952381,-0.0193950167
5.022269841,-0.0205403291
5.022587302,-0.0220838071
5.022904762,-0.0236269248
5.023222222,-0.0230445945
5.023539683,-0.0215522958
5.023857143,-0.0200609831
5.024174603,-0.0196275196
5.024492063,-0.0200588307
5.024809524,-0.0204899441
5.025126984,-0.0200669501
5.025444444,-0.0183619965
5.025761905,-0.0166555628
5.026079365,-0.0158281208
5.026396825,-0.0176418149
5.026714286,-0.019455948
5.027031746,-0.0211698518
5.027349206,-0.0219774221
5.027666667,-0.0227840471
5.027984127,-0.0235897271
5.028301587,-0.0226921298
5.028619048,-0.0217042946
5.028936508,-0.0207158262
5.029253968,-0.019027047
5.029571429,-0.0171616634
5.029888889,-0.0152944759
5.030206349,-0.0153728064
5.03052381,-0.0164993659
5.03084127,-0.0176259083
5.03115873,-0.0190175376
5.03147619,-0.0206736934
5.031793651,-0.0223290849
5.032111111,-0.0228957165
5.032428571,-0.0214407939
5.032746032,-0.0199847718
5.033063492,-0.0186967443
5.033380952,-0.0180836436
5.033698413,-0.0174688562
5.034015873,-0.016895078
5.034333333,-0.0171318687
5.034650794,-0.0173687528
5.034968254,-0.0176057302
5.035285714,-0.0181151892
5.035603175,-0.018653298
5.035920635,-0.0191897017
5.036238095,-0.0191911517
5.036555556,-0.0190150477
5.036873016,-0.0188394109
5.037190476,-0.0196769168
5.037507937,-0.0211883249
5.037825397,-0.0226980983
5.038142857,-0.0234458106
5.038460317,-0.023264507
5.038777778,-0.0230843676
5.039095238,-0.0225914454
5.039412698,-0.0213660014
5.039730159,-0.0201399652
5.040047619,-0.0192046809
5.040365079,-0.0199198186
5.04068254,-0.0206344891
5.041,-0.0213486925
5.04131746,-0.0196147306
5.041634921,-0.017879406
5.041952381,-0.0161427177
5.042269841,-0.0175526731
5.042587302,-0.0195174539
5.042904762,-0.0214815828
5.043222222,-0.0219327935
5.043539683,-0.0217349553
5.043857143,-0.0215361335
5.044174603,-0.0211766914
5.044492063,-0.0206866703
5.044809524,-0.0201969784
5.045126984,-0.0190218117
5.045444444,-0.016817581
5.045761905,-0.0146126974
5.046079365,-0.0136001672
5.046396825,-0.0161667436
5.046714286,-0.0187338508
5.047031746,-0.0209481499
5.047349206,-0.0199824281
5.047666667,-0.0190162973
5.047984127,-0.0180497579
5.048301587,-0.019129354
5.048619048,-0.0203161815
5.048936508,-0.0215025258
5.049253968,-0.0209990911
5.049571429,-0.0200725376
